Quem era o líder europeu no auge da força e da glória em 1807?;Napoleão Bonaparte.
Qual foi o efeito da abertura dos portos em 1808 para o Brasil?;Liquidou o regime colonial de comércio exclusivo da metrópole, criando condições que tornaram inviável o retorno ao status de colônia.
Por que alguns brasileiros do século XIX consideravam 7 de abril de 1831 a verdadeira data da independência?;Porque a abdicação de D. Pedro I eliminou a possibilidade de retrocesso à união das coroas de Brasil e Portugal.
Em que contexto internacional a independência do Brasil e América Latina se insere?;Na tríplice revolução atlântica: industrial, norte-americana e francesa, que destruiu o Antigo Regime e o sistema colonial mercantilista.
Qual o principal contraste entre os processos de independência da América portuguesa e espanhola?;"A independência brasileira foi gradual e relativamente pacífica; na América espanhola foi longa e implacável, com guerras."
"O que explica o ""excepcionalismo brasileiro"" (monarquia, unidade, estabilidade)?";As raízes do processo de independência, especialmente a transferência da corte portuguesa ao Brasil e a relação assimétrica com a Inglaterra.
Por que Portugal transferiu sua corte para o Brasil em 1808?;Por estar aliado e protegido pela Inglaterra, que garantiu a proteção da esquadra inglesa durante a invasão napoleônica.
Qual foi a consequência da aliança desigual entre Espanha e França?;A usurpação do trono espanhol e o vácuo de legitimidade que tornaram as guerras de independência inevitáveis na América espanhola.
O que foi a relação entre Portugal e Inglaterra desde o século XVII?;Uma relação assimétrica de dependência em segurança, comércio e economia, consolidada por tratados entre 1642 e 1661.
Qual tratado reforçou o predomínio britânico nos negócios portugueses?;O Tratado de Methuen, em 1703.
Como era a posição comercial de Portugal em meados do século XVII?;Portugal era praticamente um vassalo comercial da Inglaterra.
Que efeito tiveram os decretos napoleônicos de Berlim (1806) e Milão (1807)?;Proclamaram o bloqueio continental contra as Ilhas Britânicas, afetando Portugal e levando à invasão napoleônica.
O que marcou a intervenção napoleônica na Península Ibérica?;A invasão de Portugal em novembro de 1807 e o levante de Madri contra a usurpação do trono espanhol em 1808.
Quantas tropas francesas foram consumidas na guerra da Península Ibérica?;Mais de 300 mil, o que enfraqueceu o exército de Napoleão em crises decisivas.
Qual frase do patriota mexicano Carlos Maria de Bustamante simboliza o impacto de Napoleão na independência americana?;"""Napoleão Bonaparte"
ontra qual país se dirigiu o golpe inicial napoleônico, com cumplicidade da Espanha?;Portugal, que foi obrigado a fechar seus portos e declarar guerra à Grã-Bretanha.
Qual foi o dilema enfrentado pelos governantes portugueses diante da ameaça napoleônica?;Escolher entre a invasão do território ou a perda das colônias.
Qual foi a solução encontrada pelo príncipe regente D. João para salvar a coroa e as colônias?;Partir para o exílio no Brasil, transferindo a corte para a colônia.
Por que a aliança anglo-portuguesa se fortaleceu e durou tanto tempo?;Porque Portugal dependia da marinha britânica para proteger suas linhas de comércio e garantir a segurança do território metropolitano.
Qual era o interesse econômico dos ingleses em Portugal?;Ganhos comerciais e estratégicos, além da importância dos portos lusitanos como plataforma no Atlântico.
Como era caracterizada a relação entre Inglaterra e Portugal?;Uma relação assimétrica, mais parecida com protetorado ou vassalagem do que com aliança livre.
O que a Inglaterra não conseguiu na relação com a Espanha, diferente do que conseguiu com Portugal?;Extrair concessões políticas e econômicas comparáveis às que recebeu de Portugal.
Qual foi a importância da Convenção Secreta assinada em Londres em 22 de outubro de 1807?;A Inglaterra comprometeu-se a fornecer escolta naval para a transferência da corte portuguesa para o Brasil.
Por que a transferência da corte portuguesa para o Brasil é considerada um evento único e excepcional?;Porque envolveu o abandono do território europeu por quase todas as instituições do governo e cultura para uma colônia tropical periférica, por mais de 12 anos.
A transferência da corte foi apenas uma resposta às pressões externas?;Não, havia projetos e raízes nacionais para essa ideia antes da invasão napoleônica.
Quais foram as consequências da transferência da corte para o Brasil?;A abertura dos portos, fim do pacto colonial, expansão na região platina e eventual independência do Brasil.
Por que o príncipe D. João relutou em partir para o Brasil?;Porque sabia que ficaria completamente dependente da Inglaterra para proteção militar e ajuda econômica, pagando alto preço por isso.
O que afirmou o visconde de Strangford sobre a influência da Inglaterra após a transferência da corte?;Que a Inglaterra conquistou o direito de estabelecer relação de soberana e vassalo com o Brasil, exigindo obediência em troca da proteção.
A abertura dos portos para todas as nações foi ditada pelos ingleses?;Não. Os britânicos propuseram abertura exclusiva para eles, o que foi rejeitado por D. João.
Qual era a proposta rejeitada pela corte portuguesa na convenção secreta de 22 de outubro de 1807?;Um porto exclusivo para uso privilegiado da Inglaterra na costa brasileira.
Que princípio herdado do Marquês de Pombal influenciou a abertura dos portos para todas as nações?;A tentativa de criar contrapesos à dominação inglesa por meio da igualdade de condições para todos os parceiros comerciais.
Quem era José da Silva Lisboa e qual seu papel na abertura dos portos?;Baiano formado em Coimbra, divulgador das ideias liberais de Adam Smith, principal assessor e defensor da abertura dos portos para o comércio livre.
Quando foi assinada a carta régia que abriu os portos brasileiros a todas as nações amigas?;Em 28 de janeiro de 1808, pelo príncipe regente D. João.
Por que a abertura dos portos ocorreu tão rapidamente?;Pela imposição dos fatos, a situação de bloqueio europeu, a pressão dos interesses locais e a influência do assessor Silva Lisboa.
Qual foi a reação da Inglaterra à carta régia de abertura dos portos?;A Inglaterra considerou a medida positiva, mas desejava privilégios comerciais exclusivos para si.
Qual era a taxa aplicada às mercadorias secas importadas por navios estrangeiros após a abertura dos portos?;24%, com o dobro para bebidas alcoólicas.
O que aconteceu em 11 de junho após a abertura dos portos?;Houve uma redução da taxa para 16% sobre produtos transportados por navios nacionais.
Como a Inglaterra reagiu à redução da taxa para navios nacionais?;Protestou e exigiu a revogação imediata do decreto por considerá-lo menos favorável à metrópole.
Qual foi a resposta de Strangford após a sua volta ao Rio de Janeiro sobre o decreto da abertura?;Empenhou-se para obter situação preferencial para a Inglaterra, protegendo-a da concorrência quando o bloqueio terminasse.
"O que são os ""tratados desiguais"" de 1810 entre Portugal e Inglaterra?";Tratados que impuseram concessões comerciais muito favoráveis à Inglaterra, com privilégios e desigualdades, especialmente o Tratado de Comércio e Navegação.
Qual tarifa preferencial os produtos transportados por navios ingleses receberam no tratado?;Tarifa de 15%, inferior à paga pelos navios lusobrasileiros, o que gerou anomalia corrigida só após 9 meses.
Houve reciprocidade no comércio entre Brasil e Inglaterra após os tratados?;Não. Era proibida a exportação para a Inglaterra de produtos como açúcar e café, permitindo apenas comércio de reexportação em mãos inglesas.
"Qual era a ""reciprocidade cômica"" mencionada?";Direito ilusório de impor tarifas proibitivas aos produtos das Antilhas, cuja importação pelo Brasil era praticamente impossível.
Quanto tempo durava a cláusula de revisão prevista nos tratados?;15 anos.
Quem foi o ministro português que ajudou a negociar os tratados em favor da Inglaterra?;D. Rodrigo de Souza Coutinho, futuro conde de Linhares.
O que garantia o artigo X do Tratado de Comércio e Navegação?;Privilégio aos ingleses de terem magistrados especiais para julgarem seus súditos no Brasil.
Como era a reação dos historiadores brasileiros aos tratados?;Condenação unânime, considerando-os traição aos interesses brasileiros e favorecimento excessivo à Inglaterra.
Por que a situação do Brasil era diferente da de Portugal em relação à Inglaterra?;Brasil tinha situação geográfica e econômica diferente, menos dependente e com colônias concorrentes às britânicas.
Qual foi o julgamento de Alan K. Manchester sobre a negociação dos tratados?;Os tratados favoreceram Portugal e Inglaterra, ignorando os interesses brasileiros, negociados por portugueses sem representação brasileira.
O que significou o fim do regime liberal de igualdade comercial da carta régia de 1808?;Substituição pelo regime preferencial à Inglaterra, com discriminação contra outras nações.
Como João Lúcio de Azevedo definiu a situação do Brasil após os tratados?;Que o Brasil pertencia de fato aos ingleses, como eles sempre desejaram.
Política externa no RJ era de quem?;Ministros portugueses, focada em interesses lusitanos e da dinastia de Bragança.
Qual advertência de Paulo Roberto de Almeida?;Política externa pré-independência = relações internacionais no Brasil, não do Brasil.
Dois eixos do ativismo externo luso-brasileiro;Contra França e Espanha (inimigos europeus, atingidos na América).
Objetivo do ataque a Caiena;"Recuperar ""Guiana brasileira"", norte do Araguari até Oiapoque."
Quem apoiou Portugal em Caiena?;Inglaterra (força naval emprestada).
Período de posse de Caiena pelos portugueses;Janeiro de 1809 a novembro de 1817.
Congresso que determinou a devolução de Caiena;Congresso de Viena (1815).
Principal interesse britânico no Rio da Prata;Garantir comércio livre sem precisar conquistar.
Principal interesse português no Rio da Prata;Território, controlar margem direita e boca do Prata.
Primeiro estabelecimento português na região;Colônia do Sacramento (1580).
