A microeconomia estuda o comportamento agregado da economia.;❌ Errado. A microeconomia estuda agentes individuais, como consumidores e empresas.
Se a produção cresce, as pessoas demandam mais moeda para transações.;✅ Certo. Quando a produção cresce, mais transações ocorrem, o que aumenta a demanda por moeda.
O aumento da produção leva a uma redução na demanda por moeda.;❌ Errado. O aumento da produção aumenta a demanda por moeda, pois há mais transações acontecendo.
A curva LM reflete o equilíbrio entre a oferta e demanda por moeda.;✅ Certo. A curva LM reflete os pontos de equilíbrio no mercado monetário, onde a oferta de moeda é igual à demanda por moeda.
O modelo LM analisa o mercado de bens.;❌ Errado. O modelo LM analisa o mercado monetário, enquanto o modelo IS analisa o mercado de bens.
A curva LM pode se deslocar para a direita com uma política monetária expansiva.;✅ Certo. Uma política monetária expansiva (aumento da oferta de moeda) desloca a curva LM para a direita, reduzindo as taxas de juros.
A curva LM é sempre vertical.;❌ Errado. A curva LM tem uma inclinação positiva, não é vertical. Ela mostra uma relação direta entre a taxa de juros e o nível de produção.
Uma redução na taxa de juros incentiva as pessoas a manter mais dinheiro.;✅ Certo. Com a redução das taxas de juros, o custo de manter dinheiro cai, o que incentiva as pessoas a manter mais moeda em mãos.
O modelo LM é utilizado para estudar os efeitos da política fiscal.;❌ Errado. O modelo LM é usado para estudar o mercado monetário, enquanto o modelo IS é utilizado para analisar os efeitos da política fiscal.
A curva LM representa as combinações de taxa de juros e nível de produção onde a demanda por moeda é maior que a oferta.;❌ Errado. A curva LM representa as combinações de taxa de juros e produção onde a demanda por moeda é igual à oferta de moeda.
A política monetária expansiva desloca a curva LM para a esquerda.;❌ Errado. A política monetária expansiva (redução da taxa de juros ou aumento da oferta de moeda) desloca a curva LM para a direita, reduzindo a taxa de juros para o mesmo nível de produção.
A política monetária contracionista tende a aumentar o consumo e o investimento.;❌ Errado. A política monetária contracionista (aumento da taxa de juros ou redução da oferta de moeda) tende a desestimular o consumo e o investimento.
A Balança de Pagamentos é o registro das transações econômicas de um país com o resto do mundo.;✅ Certo. A Balança de Pagamentos é um registro de todas as transações econômicas de um país com o resto do mundo durante um determinado período de tempo.
A Conta Corrente inclui transações de bens e serviços, como exportações e importações.;✅ Certo. A Conta Corrente registra as transações relacionadas com bens e serviços, como exportações, importações, serviços e transferências correntes.
A Conta de Capital registra transações de bens não financeiros, como a compra de imóveis.;✅ Certo. A Conta de Capital registra transações de bens não financeiros que mudam de propriedade, como a compra e venda de imóveis entre países.
Quando o país exporta mais do que importa, a Balança Comercial está em déficit.;❌ Errado. Quando o país exporta mais do que importa, a Balança Comercial está em superávit.
A política monetária expansiva pode reduzir a taxa de juros e aumentar o consumo.;✅ Certo. Com a redução da taxa de juros, a política monetária expansiva incentiva o consumo e o investimento, deslocando a curva LM para a direita.
A Conta Financeira inclui transações de investimentos, empréstimos e emissões de ações.;✅ Certo. A Conta Financeira registra transações financeiras que envolvem investimentos, empréstimos, emissões de ações ou dívidas entre países.
A política monetária contracionista aumenta a taxa de juros e diminui o consumo.;✅ Certo. A política monetária contracionista aumenta a taxa de juros, o que tende a desestimular o consumo e o investimento.
A Conta Corrente inclui transferências correntes, como remessas de dinheiro de imigrantes.;✅ Certo. A Conta Corrente inclui transferências correntes, como remessas de dinheiro, ajudas internacionais, entre outros.
A Balança de Pagamentos tem apenas duas partes: Conta Corrente e Conta Financeira.;❌ Errado. A Balança de Pagamentos tem três partes: Conta Corrente, Conta de Capital e Conta Financeira.
A Conta de Capital registra transações relacionadas a investimentos financeiros.;❌ Errado. A Conta de Capital registra transações de bens não financeiros, como a compra e venda de imóveis.
Um aumento na taxa de juros devido a uma política monetária contracionista pode reduzir os investimentos.;✅ Certo. Aumentar a taxa de juros tende a desestimular o consumo e os investimentos, deslocando a curva LM para a esquerda.
A política monetária expansiva tende a reduzir a taxa de juros e aumentar a demanda por moeda.;❌ Errado. A política monetária expansiva reduz a taxa de juros e aumenta o consumo e investimento, mas não necessariamente aumenta a demanda por moeda.
O superávit na Balança Comercial significa que as exportações superam as importações.;✅ Certo. Quando as exportações superam as importações, há um superávit na Balança Comercial.
Quando o Brasil toma um empréstimo de um banco estrangeiro, isso é registrado na Conta Corrente.;❌ Errado. Empréstimos tomados ou concedidos são registrados na Conta Financeira, não na Conta Corrente.
O aumento da oferta de moeda desloca a curva LM para a direita.;✅ Certo. Aumentar a oferta de moeda reduz as taxas de juros, deslocando a curva LM para a direita e incentivando o consumo e o investimento.
A Conta Financeira registra transações relacionadas a bens não financeiros, como imóveis.;❌ Errado. A Conta Financeira registra transações financeiras, como investimentos e empréstimos, não relacionados a bens não financeiros.
A política monetária contracionista desloca a curva LM para a direita.;❌ Errado. A política monetária contracionista, ao aumentar a taxa de juros, desloca a curva LM para a esquerda.
Quando o Brasil compra um imóvel no exterior, isso é registrado na Conta de Capital.;✅ Certo. A compra de um imóvel no exterior é registrada na Conta de Capital como uma saída de recursos do Brasil.
A redução da taxa de juros devido à política monetária expansiva tende a reduzir o consumo.;❌ Errado. A redução da taxa de juros tende a aumentar o consumo e o investimento, pois fica mais barato tomar empréstimos.
A Conta Corrente inclui transações financeiras, como compra e venda de ações.;❌ Errado. A compra e venda de ações é registrada na Conta Financeira, não na Conta Corrente.
O superávit na Conta Corrente ocorre quando o país importa mais do que exporta.;❌ Errado. O superávit na Conta Corrente ocorre quando o país exporta mais do que importa.
A política monetária expansiva aumenta a taxa de juros para incentivar o consumo.;❌ Errado. A política monetária expansiva reduz a taxa de juros, incentivando o consumo e o investimento.
A Conta Financeira pode registrar a compra de uma empresa estrangeira por uma empresa nacional.;✅ Certo. Investimentos diretos, como a compra de uma empresa estrangeira, são registrados na Conta Financeira.
A política monetária expansiva reduz a taxa de juros e estimula a economia.;✅ Certo. A política monetária expansiva, ao reduzir a taxa de juros, estimula o consumo e o investimento, deslocando a curva LM para a direita.
A Conta de Capital registra transferências correntes, como remessas de dinheiro de imigrantes.;❌ Errado. As transferências correntes são registradas na Conta Corrente, não na Conta de Capital.
Um superávit na Conta Financeira significa que o país está recebendo mais investimentos do que fazendo.;✅ Certo. O superávit na Conta Financeira ocorre quando o país recebe mais investimentos ou empréstimos do que concede.
Se um país importa mais do que exporta, isso causa um déficit na Conta Corrente.;✅ Certo. Quando um país importa mais do que exporta, ocorre um déficit na Conta Corrente.
A política monetária contracionista pode aumentar a inflação.;✅ Certo. A política monetária contracionista aumenta as taxas de juros e pode ajudar a controlar a inflação, mas pode reduzir o crescimento econômico.
A Balança de Pagamentos deve sempre ser balanceada, com todas as saídas sendo compensadas por entradas.;✅ Certo. A Balança de Pagamentos é balanceada, ou seja, cada débito (saída de recursos) deve ser compensado por um crédito (entrada de recursos).
Superávit na Balança de Pagamentos ocorre quando as saídas de recursos são maiores que as entradas.;❌ Errado. Superávit ocorre quando as entradas de recursos são maiores que as saídas.
Déficit na Balança de Pagamentos ocorre quando um país exporta mais do que importa.;❌ Errado. Déficit ocorre quando um país importa mais do que exporta.
A curva BP no modelo IS-LM-BP representa o equilíbrio da Balança de Pagamentos.;✅ Certo. A curva BP representa o equilíbrio da Balança de Pagamentos, onde o saldo é zero (entradas igualam saídas).
A mobilidade de capitais afeta a forma da curva BP.;✅ Certo. A mobilidade de capitais influencia a forma da curva BP: alta mobilidade torna a curva quase horizontal e baixa mobilidade a torna inclinada.
A curva BP é quase horizontal quando há baixa mobilidade de capitais.;❌ Errado. A curva BP é quase horizontal quando há alta mobilidade de capitais, pois pequenas variações nos juros atraem grandes fluxos de capital.
Quando a mobilidade de capitais é baixa, a curva BP tende a ser mais inclinada.;✅ Certo. Com baixa mobilidade de capitais, a curva BP se torna mais inclinada, pois os fluxos de capital são menos sensíveis à taxa de juros.
