O que George Weerth expressou em 11 de março de 1848?;"Acreditava que a Revolução mudaria o planeta e apoiava a república (""Vive la Republique!"")."
Como era a distribuição da população americana em 1860?;A maioria (84%) vivia no meio rural, em pequenas cidades ou fazendas.
O que foi o Homestead Act de 1862?;Lei que dava até 160 acres de terra grátis para colonos que morassem por 5 anos no local.
O Homestead Act foi um sucesso?;"Não; poucos beneficiários reais, com especuladores e ferrovias lucrando mais com as terras públicas."
Qual a contradição na utopia rural americana?;A terra era prometida ao povo, mas na prática era vendida e especulada por capitalistas e grandes interesses.
Qual era o maior orgulho urbano americano do século XIX?;A cidade de Chicago, que cresceu de 30 mil habitantes em 1850 para mais de 1 milhão em 40 anos.
"O que simbolizava o ""destino manifesto"" dos EUA?";A crença na expansão e superioridade da nação americana como missão histórica.
Quais são os dois temas centrais da história americana entre 1848-75?;A Guerra Civil e a expansão para o Oeste.
O que precipitou a Guerra Civil nos EUA?;A abertura do Oeste, especialmente nas regiões sul e central, e o conflito sobre o escravismo no Kansas-Nebraska (1854).
Que partido surgiu em resposta ao conflito do Kansas-Nebraska?;O Partido Republicano.
Quem foi eleito presidente dos EUA em 1860 e qual o impacto?;Abraham Lincoln, cuja eleição levou à secessão dos estados do Sul e à Guerra Civil.
Quais estados formaram os Estados Confederados do Sul?;Virgínia, Carolinas do Norte e do Sul, Geórgia, Alabama, Flórida, Mississippi, Louisiana, Tennessee, Arkansas.
Como a expansão para o Oeste foi acelerada?;Pelo desenvolvimento das ferrovias e da Califórnia após 1849.
O que aconteceu com as terras indígenas durante a colonização do Oeste?;Os índios foram removidos à força e sofreram com o massacre do búfalo, que era vital para sua economia.
Qual o impacto das minas de prata em Nevada (Comstock Lode)?;Gerou grandes fortunas, mas a região teve pouca população e importância demográfica.
"O que caracterizava o ""Oeste Selvagem""?";Falta de instituições fortes, anarquia e uma população dominada por homens, com poucas famílias e crianças.
"Quem foram os principais grupos excluídos do ""sonho do Oeste""?";Índios, chineses, negros e mexicanos.
"O que simbolizava o ""sonho do Oeste"" para muitos brancos pobres?";Uma busca por liberdade, autonomia e riqueza através do jogo, ouro e armas, longe da empresa privada tradicional.
Qual a principal questão por trás da Guerra Civil Americana?;A incompatibilidade entre a sociedade escravista do Sul e o capitalismo do Norte.
A escravidão era a causa principal da Guerra Civil?;Sim, era a instituição central do Sul e a principal causa do conflito.
O abolicionismo militante foi suficiente para causar a guerra?;"Não; os sentimentos contra a escravidão no Norte não eram fortes o bastante para determinar a política da União por si só."
O capitalismo do Norte poderia ter coexistido com o Sul escravista?;Sim, do ponto de vista econômico, poderia ter sido conveniente, como ocorre em regimes de segregação em outros países.
Quando as sociedades escravistas, incluindo a do Sul dos EUA, desapareceram?;Entre 1848 e 1890, inclusive Cuba e Brasil aboliram a escravidão.
Por que as sociedades escravistas estavam isoladas no século XIX?;Pela abolição do tráfico negreiro e pelo consenso do liberalismo burguês que as via como moralmente erradas e economicamente ineficientes.
Qual foi o problema específico do Sul dos EUA na década de 1850?;A dificuldade de coexistência com o capitalismo dinâmico do Norte e a migração para o Oeste.
Qual era a diferença econômica entre Norte e Sul?;O Norte era industrial e populoso, o Sul era agrário e dependente do algodão para a indústria inglesa.
Qual era a posição do Sul sobre tarifas protecionistas?;O Sul preferia mercado livre, enquanto o Norte defendia tarifas para proteger sua indústria.
Como o Sul tentou frear a expansão do Norte para o Oeste?;Tentou cortar o acesso do Norte ao Oeste usando o sistema fluvial do Mississipi para fortalecer seu comércio.
Qual era a força política do Sul para defender seus interesses?;Insistia na aceitação da escravidão nos novos territórios, defendia a autonomia dos estados e exercia veto na política nacional.
Qual era a composição demográfica do Oeste?;Majoritariamente brancos pobres e livres, sem escravidão, atraídos pelo solo livre e ouro.
O que enfraquecia o sistema escravista em relação à expansão para o Oeste?;A escravidão era irrelevante para o Oeste, e a expansão para essa região não fortaleceu o sistema escravista.
Qual foi a reação do Sul à eleição de Abraham Lincoln em 1860?;O Sul se separou da União, iniciando a Guerra Civil.
Quanto tempo durou a Guerra Civil e qual seu impacto?;Durou 5 anos e foi a maior guerra do século XIX para um país desenvolvido, com enorme destruição e mortes.
Por que o Norte venceu a Guerra Civil?;Por sua superioridade em população, homens em idade militar e produção industrial.
O que representou a vitória do Norte?;O triunfo do capitalismo americano e dos EUA modernos, mas não o triunfo imediato dos negros.
"O que ocorreu no Sul após a ""Reconstrução""?";O Sul voltou ao controle de brancos conservadores e racistas, mantendo autonomia política e um sistema segregacionista.
Como se desenvolveu o capitalismo americano após a Guerra Civil?;"Cresceu rapidamente, apesar da guerra, criando poderosos empresários chamados ""robber barons""."
"Quem foram os ""Robber Barons""?";Grandes capitalistas do século XIX nos EUA, conhecidos por acumular fortunas enormes, muitas vezes com métodos questionáveis.
"Por que o termo ""multi-millionaire"" surgiu?";Por causa da fortuna enorme de Cornelius Vanderbilt, que morreu em 1877 com cerca de 100 milhões de dólares.
Qual a visão apologética sobre alguns Robber Barons?;Alguns eram inovadores criativos que ajudaram o rápido desenvolvimento da industrialização americana.
Por que esta visão não se aplica a todos?;Porque havia muitos como Jim Fisk e Jay Gould, conhecidos por fraudes e corrupção.
Qual era uma característica marcante do ambiente econômico dos EUA na época?;Ausência quase total de controle estatal sobre negócios e alta corrupção, permitindo práticas abusivas e ilegais.
"O que eram os ""esquadrões Vigilante""?";Grupos armados privados que atuavam com violência, matando supostos infratores da lei, especialmente entre 1850 e 1889.
"Qual o papel das polícias privadas, como os ""Pinkertons""?";Combateram criminosos e, principalmente, trabalhadores em greve, protegendo os interesses das empresas.
Qual era a obsessão comum dos Robber Barons?;Construção tecnológica e maximização dos lucros, principalmente em estradas de ferro.
Como Cornelius Vanderbilt fez sua fortuna?;Principalmente investindo e expandindo negócios em estradas de ferro.
Que tipos de atividades os Robber Barons envolviam?;Diversos ramos: mineração, transporte, petróleo, armazéns, bolsa de valores, entre outros.
Como os Robber Barons viam a honestidade em seus negócios?;"Menos importante que a esperteza; fraude, suborno e violência eram comuns na competição."
"O que dizia o ""darwinismo social"" da época?";"Os mais ricos e poderosos eram os melhores porque sobreviviam na ""selva"" da competição econômica."
Como essa teoria influenciou a mentalidade americana?;"Virou uma ""teologia nacional"", justificando a desigualdade e as práticas dos ricos no final do século XIX."
"que significa ser um ""self-made man"" entre os robber barons?";Pessoas que fizeram suas fortunas a partir do zero, sem herança familiar.
Quantos dos grandes empresários da época eram realmente self-made?;"Cerca de 42% vinham de classes médias ou baixas; poucos eram filhos da classe operária."
De onde vinham a maioria dos grandes capitalistas americanos?;Muitos vinham de famílias de comerciantes ou profissionais liberais.
Como os robber barons encaravam a política?;A política era vista como um meio de fazer dinheiro, mais para comprar influência do que para governar.
Por que os robber barons eram vistos como representantes da América?;Porque personificavam o espírito da acumulação capitalista e da oportunidade ilimitada.
Quem foram alguns dos nomes mais famosos entre os robber barons?;J.P. Morgan, Rockefeller, Vanderbilt — nomes que se tornaram mitos americanos.
Como a classe trabalhadora via o poder do capital na época?;Via como rígido e absoluto, comparável a uma monarquia absoluta.
Qual país não-europeu conseguiu derrotar o Ocidente no próprio terreno no século XIX?;O Japão.
Como o Japão era visto pelo Ocidente no meio do século XIX?;Como um país atrasado e isolado, com pouca importância econômica ou militar.
Quem forçou a abertura dos portos japoneses ao Ocidente?;Commodore Perry, dos Estados Unidos, em 1853-54, usando ameaças navais.
Que semelhança social o Japão tinha com o Ocidente?;Possuía uma estrutura social similar à Europa medieval: nobreza agrária, camponeses semi-servis e mercadores empreendedores.
O que eram os Mitsui e Sumitomo no Japão?;Famílias que começaram em atividades comerciais tradicionais e se transformaram em grandes grupos financeiros e mercantis.
O Japão poderia ter evoluído para uma economia capitalista sem influência externa?;Possivelmente, mas não há certeza.
Por que o Japão estava mais disposto a imitar o Ocidente que outros países?;Porque tinha vontade e capacidade para isso, ao contrário da China e México.
Por que a China não quis imitar o Ocidente?;Era gigante, auto-suficiente, e se via como o centro da civilização, rejeitando os invasores ocidentais.
Qual país tentou imitar o capitalismo dos EUA, mas falhou devido a tradições?;O México, por causa da Igreja, campesinato e tradições medievais.
