Qual é a principal fonte formal do Direito Internacional Público, segundo o Estatuto da Corte Internacional de Justiça?;Os tratados internacionais.
"O que são as ""terras devolutas"" no Brasil?";São terras públicas que não estão sob domínio privado ou de uso específico, pertencentes à União ou aos Estados.
Qual é a competência da União sobre o território nacional?;Zelar pela integridade territorial, organizar a divisão territorial e administrar os bens da União.
O Brasil já perdeu território em algum conflito internacional?;Sim, a atual faixa de fronteira com o Uruguai foi perdida em favor da Argentina, e o atual estado do Acre foi adquirido posteriormente.
Qual foi o principal tratado que definiu as fronteiras do Brasil com a Argentina?;O Tratado de 1895, que resolveu a Questão de Palmas (arbitragem do Presidente Grover Cleveland).
Qual foi o tratado que definiu a fronteira entre Brasil e Bolívia?;O Tratado de Petrópolis (1903), que anexou o Acre ao Brasil.
O que foi a Questão do Amapá (ou Contestado Franco-Brasileiro)?;Foi uma disputa territorial entre Brasil e França pela região do Amapá, resolvida pela arbitragem da Suíça (1900), que deu a região ao Brasil.
Qual foi o acordo que resolveu a Questão do Oiapoque?;A arbitragem de Genebra (1900), que definiu o rio Oiapoque como limite entre Brasil e Guiana Francesa.
Como foram definidas as fronteiras do Brasil com a Guiana Inglesa?;Pela arbitragem italiana (1904), que deu a região de Pirara à Inglaterra.
Qual foi o Tratado que definiu a fronteira do Brasil com o Paraguai?;O Tratado de 1872 e a arbitragem do Presidente dos EUA, Grover Cleveland (1895), sobre a região do Rio Apa.
Qual é o marco histórico da consolidação das fronteiras brasileiras?;A definição de todas as fronteiras terrestres até 1909, com exceção da região do Acre (1903) e do Amapá (1900).
O Brasil tem fronteiras com quantos países?;10 países (todos da América do Sul, exceto Chile e Equador).
Quais são os países que fazem fronteira com o Brasil?;Guiana Francesa, Suriname, Guiana, Venezuela, Colômbia, Peru, Bolívia, Paraguai, Argentina e Uruguai.
Qual é a extensão total das fronteiras terrestres brasileiras?;Cerca de 16.886 km de extensão.
Qual é a extensão do litoral brasileiro?;Cerca de 7.491 km.
O Brasil tem reivindicações territoriais no exterior?;Sim, o Brasil reivindica a soberania sobre a Ilha de Trindade e o Arquipélago de Martim Vaz, e a extensão da plataforma continental.
"O que é a ""Amazônia Azul""?";É a denominação brasileira para as águas jurisdicionais brasileiras e a plataforma continental, incluindo o mar territorial e a ZEE.
O Brasil possui ilhas oceânicas?;Sim, como o Arquipélago de Fernando de Noronha, Atol das Rocas, Ilha de Trindade, Arquipélago de Martim Vaz e São Pedro e São Paulo.
Qual a situação de Fernando de Noronha?;Pertence ao Estado de Pernambuco, mas é administrado por um distrito estadual específico.
Qual é o estatuto do Atol das Rocas?;É uma reserva biológica federal, pertencente ao Rio Grande do Norte.
"O que é a ""plataforma continental"" brasileira?";É o leito e subsolo das áreas submarinas adjacentes ao litoral, que se estendem até o bordo da margem continental.
O Brasil possui plataforma continental além das 200 milhas?;Sim, a Comissão de Limites da Plataforma Continental da ONU reconheceu a extensão da plataforma brasileira para além das 200 milhas.
Qual a importância da Amazônia no território brasileiro?;A Amazônia Legal corresponde a mais de 60% do território nacional e é essencial para a soberania e segurança.
"O que é a ""Amazônia Legal""?";É uma região definida por lei, abrangendo os Estados da Amazônia e parte do Mato Grosso e Maranhão, para fins de planejamento.
A Amazônia é propriedade da União?;A maior parte das terras da Amazônia é da União, incluindo as faixas de fronteira.
"O que é a ""faixa de fronteira"" no Brasil?";É uma zona de até 150 km de largura ao longo das fronteiras terrestres, considerada essencial para a segurança nacional.
Qual é a competência da União sobre a faixa de fronteira?;A União tem competência exclusiva para dispor sobre terras na faixa de fronteira (art. 20, §2º da CF).
O Brasil já recorreu à arbitragem internacional para resolver disputas territoriais?;Sim, várias vezes (ex.: Questão de Palmas, Amapá, Pirara).
"O que é a ""Questão de Palmas""?";Foi uma disputa territorial entre Brasil e Argentina pela região das Missões, resolvida pela arbitragem do Presidente dos EUA, Grover Cleveland, em 1895.
"O que foi a ""Questão do Acre""?";Foi a disputa entre Brasil e Bolívia pela região do Acre, rica em borracha, resolvida pelo Tratado de Petrópolis (1903).
O que determina o Tratado de Petrópolis (1903)?;A anexação do Acre ao Brasil, com a indenização de 2 milhões de libras e a construção da Estrada de Ferro Madeira-Mamoré.
Qual foi a arbitragem que resolveu a Questão do Amapá?;A arbitragem do governo suíço, em 1900, que deu a região ao Brasil.
Como foi resolvida a Questão do Oiapoque com a França?;Pela arbitragem de Genebra (1900), que definiu o rio Oiapoque como limite.
Qual foi a disputa territorial com a Guiana Inglesa?;A Questão de Pirara, resolvida pela arbitragem do governo italiano (1904), que deu a região à Inglaterra.
"O que é o ""princípio da continuidade"" na formação do território?";Defende que o território de um Estado deve ser contínuo, sem enclaves, para facilitar o exercício da soberania.
O Brasil possui enclaves ou exclaves?;Não, o território brasileiro é contínuo, sem enclaves.
"O que são os ""rios internacionais"" e sua relação com o território?";São rios que atravessam ou fazem fronteira com mais de um Estado (ex.: Amazonas, Paraná), e seu uso é regulado por tratados.
Qual é o regime jurídico dos rios de fronteira no Brasil?;São rios internacionais, com livre navegação para os Estados ribeirinhos, conforme o princípio da liberdade de navegação.
"O que é o ""Tratado de Itaipu"" e sua relação com o território?";É o tratado entre Brasil e Paraguai (1973) para a construção da usina hidrelétrica de Itaipu, no rio Paraná, com regras de soberania compartilhada.
O Brasil tem disputas territoriais ativas?;"Atualmente, há uma disputa com o Uruguai sobre a ""Ilha Brasileira"" no rio Quaraí, mas é de baixa intensidade."
"O que é o ""Arquipélago de São Pedro e São Paulo""?";É um pequeno grupo de rochas no Atlântico, pertencente ao Brasil, com uma estação científica.
"O que é a ""Ilha de Trindade""?";É uma ilha oceânica brasileira, a 1.200 km de Vitória (ES), com uma base da Marinha.
Como o Brasil exerce sua soberania sobre as ilhas oceânicas?;Por meio da presença militar e científica, e pela delimitação da ZEE e da plataforma continental.
"O que são as ""águas interiores"" no território brasileiro?";São os rios, lagos, canais e baías situados dentro do território, sob soberania exclusiva do Brasil.
Qual é a diferença entre mar territorial e ZEE?;"O mar territorial (12 milhas) é plenamente soberano; a ZEE (até 200 milhas) é de exploração econômica, mas não de soberania plena."
O Brasil reivindica a ampliação do mar territorial?;Sim, reivindicou 200 milhas de mar territorial na década de 1970, mas a CNUDM definiu 12 milhas.
O Brasil é signatário da Convenção da ONU sobre o Direito do Mar (CNUDM)?;Sim, ratificou a CNUDM em 1988.
Como o Brasil delimita sua ZEE?;Pela Lei nº 8.617/1993, que define a ZEE brasileira entre 12 e 200 milhas.
"O que é a ""plataforma continental estendida"" e o Brasil a possui?";"É a plataforma além das 200 milhas; o Brasil possui e teve sua proposta aprovada pela ONU em 2007."
Qual a importância estratégica do território brasileiro na América do Sul?;O Brasil é o maior país da América do Sul e tem fronteiras com quase todos os países da região.
"O Brasil é um país ""continental"" ou ""transcontinental""?";É um país continental, pois ocupa a maior parte da América do Sul.
Qual é a maior extensão do território brasileiro no sentido norte-sul?;Cerca de 4.394 km.
Qual é a maior extensão leste-oeste do território brasileiro?;Cerca de 4.319 km.
Quais são os pontos extremos do Brasil?;"Norte: Monte Caburaí (RR); Sul: Arroio Chuí (RS); Leste: Ponta do Seixas (PB); Oeste: Serra Contamana (AC)."
"O que são os ""tratados de limites"" no Brasil?";São instrumentos diplomáticos que definem as fronteiras com os países vizinhos.
O primeiro tratado de limites do Brasil foi com qual país?;Com a Espanha, o Tratado de Tordesilhas (1494), que não era de limites, mas de divisão do mundo.
Qual foi o primeiro tratado de limites efetivo do Brasil?;O Tratado de Madri (1750), entre Portugal e Espanha, que fixou as fronteiras com base no uti possidetis.
O que foi o Tratado de Madri (1750)?;Foi um acordo que definiu as fronteiras entre as colônias portuguesas e espanholas na América do Sul, com base no princípio do uti possidetis.
O que foi o Tratado de Santo Ildefonso (1777)?;Foi um tratado que redefiniu as fronteiras entre Portugal e Espanha, anulando parcialmente o Tratado de Madri.
O que foi o Tratado de Badajoz (1801)?;Foi um tratado que fixou as fronteiras entre Portugal e Espanha, após a Guerra das Laranjas.
Qual é a importância histórica do Tratado de Tordesilhas para o Brasil?;Estabeleceu a divisão do mundo entre Portugal e Espanha, dando origem à porção ocidental do Brasil.
"O que foi a ""Questão do Rincão"" com o Uruguai?";Foi uma disputa territorial pela região do Rincão de Artigas, resolvida por arbitragem.
Qual foi a arbitragem que resolveu a Questão do Rincão?;A arbitragem do Presidente dos EUA, em 1895, que deu a região ao Uruguai.
"O que é a ""Ilha de Caripi"" no contexto territorial?";É uma ilha fluvial no rio Amazonas, em disputa com a Venezuela.
A disputa da Ilha de Caripi já foi resolvida?;Ainda é uma disputa de baixa intensidade, sem definição clara.
"O que são os ""rios de fronteira seca""?";São rios que não servem como limite natural, e a fronteira é definida por marcos geodésicos.
O Brasil utiliza marcos geodésicos para suas fronteiras?;Sim, muitos trechos de fronteira são definidos por marcos geodésicos acordados com os vizinhos.
"O que é a ""Comissão Mista de Limites""?";É um órgão bilateral entre Brasil e um país vizinho para manutenção e demarcação de fronteiras.
Qual é o órgão brasileiro responsável pela demarcação de fronteiras?;A Comissão Brasileira de Demarcação de Limites (CB), do Ministério das Relações Exteriores.
A União pode dispor sobre o território sem a anuência dos Estados?;Não, qualquer alteração territorial depende de lei complementar e da consulta aos Estados envolvidos (art. 18, §3º da CF).
